Location,LocationHierarchy,%locals_audience_Android,%locals_audience_Other,%locals_audience_adolecent,%locals_audience_adult,%locals_audience_elder,%locals_audience_graduated,%locals_audience_high_school,%locals_audience_home,%locals_audience_iOS,%locals_audience_man,%locals_audience_middle_age,%locals_audience_no_degree,%locals_audience_recent,%locals_audience_woman,%locals_audience_young_adult,%ven_audience_Android,%ven_audience_Other,%ven_audience_adolecent,%ven_audience_adult,%ven_audience_elder,%ven_audience_graduated,%ven_audience_high_school,%ven_audience_home,%ven_audience_iOS,%ven_audience_man,%ven_audience_middle_age,%ven_audience_no_degree,%ven_audience_recent,%ven_audience_woman,%ven_audience_young_adult,Frequency,audience_Android,audience_Android_man,audience_Android_woman,audience_Other,audience_Other_man,audience_Other_woman,audience_adolecent,audience_adolecent_graduated,audience_adolecent_high_school,audience_adolecent_man,audience_adolecent_no_degree,audience_adolecent_woman,audience_adult,audience_adult_graduated,audience_adult_high_school,audience_adult_man,audience_adult_no_degree,audience_adult_woman,audience_elder,audience_elder_graduated,audience_elder_high_school,audience_elder_man,audience_elder_no_degree,audience_elder_woman,audience_graduated,audience_graduated_man,audience_graduated_woman,audience_high_school,audience_high_school_man,audience_high_school_woman,audience_home,audience_home_man,audience_home_woman,audience_iOS,audience_iOS_man,audience_iOS_woman,audience_locals_Android,audience_locals_Other,audience_locals_adolecent,audience_locals_adolecent_graduated,audience_locals_adolecent_high_school,audience_locals_adolecent_no_degree,audience_locals_adult,audience_locals_adult_graduated,audience_locals_adult_high_school,audience_locals_adult_no_degree,audience_locals_elder,audience_locals_elder_graduated,audience_locals_elder_high_school,audience_locals_elder_no_degree,audience_locals_graduated,audience_locals_high_school,audience_locals_home,audience_locals_iOS,audience_locals_man,audience_locals_middle_age,audience_locals_middle_age_graduated,audience_locals_middle_age_high_school,audience_locals_middle_age_no_degree,audience_locals_no_degree,audience_locals_recent,audience_locals_woman,audience_locals_young_adult,audience_locals_young_adult_graduated,audience_locals_young_adult_high_school,audience_locals_young_adult_no_degree,audience_man,audience_middle_age,audience_middle_age_graduated,audience_middle_age_high_school,audience_middle_age_man,audience_middle_age_no_degree,audience_middle_age_woman,audience_no_degree,audience_no_degree_man,audience_no_degree_woman,audience_recent,audience_recent_man,audience_recent_woman,audience_woman,audience_young_adult,audience_young_adult_graduated,audience_young_adult_high_school,audience_young_adult_man,audience_young_adult_no_degree,audience_young_adult_woman,venezuelans,allmigrants,allpopulation,allnonmigrant,ven/migrants,ven/pop,100ven/migrants,100ven/pop,not_enough_data,%diff_audience_home,%diff_audience_recent,%diff_audience_man,%diff_audience_woman,%diff_audience_adolecent,%diff_audience_young_adult,%diff_audience_adult,%diff_audience_middle_age,%diff_audience_elder,%diff_audience_graduated,%diff_audience_high_school,%diff_audience_no_degree,%diff_audience_iOS,%diff_audience_Android,%diff_audience_Other,ramv_venezuelans,fb/ramv,display_audience_Android,display_audience_Android_man,display_audience_Android_woman,display_audience_Other,display_audience_Other_man,display_audience_Other_woman,display_audience_adolecent,display_audience_adolecent_graduated,display_audience_adolecent_high_school,display_audience_adolecent_man,display_audience_adolecent_no_degree,display_audience_adolecent_woman,display_audience_adult,display_audience_adult_graduated,display_audience_adult_high_school,display_audience_adult_man,display_audience_adult_no_degree,display_audience_adult_woman,display_audience_elder,display_audience_elder_graduated,display_audience_elder_high_school,display_audience_elder_man,display_audience_elder_no_degree,display_audience_elder_woman,display_audience_graduated,display_audience_graduated_man,display_audience_graduated_woman,display_audience_high_school,display_audience_high_school_man,display_audience_high_school_woman,display_audience_home,display_audience_home_man,display_audience_home_woman,display_audience_iOS,display_audience_iOS_man,display_audience_iOS_woman,display_audience_locals_Android,display_audience_locals_Other,display_audience_locals_adolecent,display_audience_locals_adolecent_graduated,display_audience_locals_adolecent_high_school,display_audience_locals_adolecent_no_degree,display_audience_locals_adult,display_audience_locals_adult_graduated,display_audience_locals_adult_high_school,display_audience_locals_adult_no_degree,display_audience_locals_elder,display_audience_locals_elder_graduated,display_audience_locals_elder_high_school,display_audience_locals_elder_no_degree,display_audience_locals_graduated,display_audience_locals_high_school,display_audience_locals_home,display_audience_locals_iOS,display_audience_locals_man,display_audience_locals_middle_age,display_audience_locals_middle_age_graduated,display_audience_locals_middle_age_high_school,display_audience_locals_middle_age_no_degree,display_audience_locals_no_degree,display_audience_locals_recent,display_audience_locals_woman,display_audience_locals_young_adult,display_audience_locals_young_adult_graduated,display_audience_locals_young_adult_high_school,display_audience_locals_young_adult_no_degree,display_audience_man,display_audience_middle_age,display_audience_middle_age_graduated,display_audience_middle_age_high_school,display_audience_middle_age_man,display_audience_middle_age_no_degree,display_audience_middle_age_woman,display_audience_no_degree,display_audience_no_degree_man,display_audience_no_degree_woman,display_audience_recent,display_audience_recent_man,display_audience_recent_woman,display_audience_woman,display_audience_young_adult,display_audience_young_adult_graduated,display_audience_young_adult_high_school,display_audience_young_adult_man,display_audience_young_adult_no_degree,display_audience_young_adult_woman
"Convención, Norte de Santander, Colombia",City,63.36,32.49,15.4,34.85,1.94,27.87,19.67,65.48,4.14,48.76,17.02,52.46,34.52,51.24,30.79,51.02,38.78,10.78,33.33,9.8,30.34,20.22,68.42,10.2,51.69,9.8,49.44,31.58,48.31,36.27,Monthly,5000.0,2400.0,2600.0,3800.0,2200.0,1600.0,1100.0,1000.0,1000.0,1000.0,1000.0,1000.0,3400.0,1200.0,1000.0,1800.0,1800.0,1600.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2700.0,1400.0,1300.0,1800.0,1000.0,1000.0,7800.0,4100.0,3700.0,1000.0,1000.0,1000.0,78000.0,40000.0,19000.0,2000.0,4600.0,13000.0,43000.0,15000.0,6800.0,21000.0,2400.0,1000.0,1000.0,1600.0,34000.0,24000.0,110000.0,5100.0,59000.0,21000.0,5700.0,2600.0,13000.0,64000.0,58000.0,62000.0,38000.0,12000.0,9800.0,17000.0,4600.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,4400.0,2400.0,2000.0,3600.0,1700.0,1800.0,4300.0,3700.0,1300.0,1000.0,1900.0,1500.0,1800.0,8900.0,12000.0,130000.0,120000.0,0.7417,0.0685,74.17,6.85,False,2.94,-2.94,2.93,-2.93,-4.61,5.48,-1.51,-7.21,7.86,2.47,0.55,-3.02,6.06,-12.34,6.28,,,5.0K,2.4K,2.6K,3.8K,2.2K,1.6K,1.1K,1.0K,1.0K,1.0K,1.0K,1.0K,3.4K,1.2K,1.0K,1.8K,1.8K,1.6K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,2.7K,1.4K,1.3K,1.8K,1.0K,1.0K,7.8K,4.1K,3.7K,1.0K,1.0K,1.0K,78K,40K,19K,2.0K,4.6K,13K,43K,15K,6.8K,21K,2.4K,1.0K,1.0K,1.6K,34K,24K,110K,5.1K,59K,21K,5.7K,2.6K,13K,64K,58K,62K,38K,12K,9.8K,17K,4.6K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,4.4K,2.4K,2.0K,3.6K,1.7K,1.8K,4.3K,3.7K,1.3K,1.0K,1.9K,1.5K,1.8K
"Cali, Cordoba, Colombia",City,47.46,35.59,12.9,33.33,10.75,38.55,18.07,12.79,16.95,48.19,17.2,43.37,87.21,51.81,25.81,33.33,33.33,20.0,20.0,20.0,33.33,33.33,50.0,33.33,50.0,20.0,33.33,50.0,50.0,20.0,Monthly,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2800.0,2100.0,1200.0,1000.0,1000.0,1000.0,3100.0,1500.0,1000.0,1100.0,1000.0,1000.0,1000.0,1000.0,3200.0,1500.0,1100.0,1000.0,4000.0,1600.0,1000.0,1000.0,1000.0,3600.0,7500.0,4300.0,2400.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,8800.0,8400.0,1.0000,0.1136,100.00,11.36,True,37.21,-37.21,1.81,-1.81,7.1,-5.81,-13.33,2.8,9.25,-5.22,15.26,-10.04,16.38,-14.12,-2.26,,,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,2.8K,2.1K,1.2K,1.0K,1.0K,1.0K,3.1K,1.5K,1.0K,1.1K,1.0K,1.0K,1.0K,1.0K,3.2K,1.5K,1.1K,1.0K,4.0K,1.6K,1.0K,1.0K,1.0K,3.6K,7.5K,4.3K,2.4K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K
"Santa Marta, Magdalena, Colombia",City,68.56,26.0,12.98,36.06,2.16,41.16,20.1,75.0,5.44,47.5,19.95,38.74,25.0,52.5,28.85,58.62,37.93,9.69,41.52,3.46,38.6,19.3,80.36,3.45,53.57,10.73,42.11,19.64,46.43,34.6,Monthly,17000.0,8200.0,8400.0,11000.0,6500.0,4900.0,2800.0,1000.0,1000.0,1300.0,1500.0,1500.0,12000.0,5200.0,1800.0,6700.0,5300.0,5600.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,11000.0,5700.0,5200.0,5500.0,2700.0,2800.0,27000.0,14000.0,13000.0,1000.0,1000.0,1000.0,290000.0,110000.0,54000.0,14000.0,14000.0,27000.0,150000.0,71000.0,26000.0,51000.0,9000.0,2600.0,1000.0,5300.0,170000.0,83000.0,390000.0,23000.0,190000.0,83000.0,29000.0,11000.0,42000.0,160000.0,130000.0,210000.0,120000.0,53000.0,32000.0,39000.0,15000.0,3100.0,1000.0,1000.0,1500.0,1700.0,1500.0,12000.0,6500.0,5400.0,6600.0,3200.0,3400.0,13000.0,10000.0,4200.0,2500.0,5200.0,3400.0,4800.0,28000.0,41000.0,450000.0,410000.0,0.6829,0.0622,68.29,6.22,False,5.36,-5.36,6.07,-6.07,-3.29,5.76,5.46,-9.23,1.3,-2.57,-0.8,3.36,-1.99,-9.94,11.93,,,17K,8.2K,8.4K,11K,6.5K,4.9K,2.8K,1.0K,1.0K,1.3K,1.5K,1.5K,12K,5.2K,1.8K,6.7K,5.3K,5.6K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,11K,5.7K,5.2K,5.5K,2.7K,2.8K,27K,14K,13K,1.0K,1.0K,1.0K,290K,110K,54K,14K,14K,27K,150K,71K,26K,51K,9.0K,2.6K,1.0K,5.3K,170K,83K,390K,23K,190K,83K,29K,11K,42K,160K,130K,210K,120K,53K,32K,39K,15K,3.1K,1.0K,1.0K,1.5K,1.7K,1.5K,12K,6.5K,5.4K,6.6K,3.2K,3.4K,13K,10K,4.2K,2.5K,5.2K,3.4K,4.8K
"Barranquilla, Atlantico, Colombia",City,68.32,25.47,12.03,35.44,2.53,41.56,19.48,79.37,6.21,47.71,21.52,38.96,20.63,52.29,28.48,60.82,36.95,10.02,42.41,1.31,39.06,20.31,83.92,2.23,50.78,11.57,40.62,16.08,49.22,34.7,Monthly,79000.0,38000.0,40000.0,48000.0,27000.0,22000.0,13000.0,2700.0,3400.0,5800.0,6600.0,6800.0,55000.0,23000.0,8700.0,29000.0,23000.0,26000.0,1700.0,1000.0,1000.0,1000.0,1000.0,1000.0,50000.0,26000.0,24000.0,26000.0,12000.0,13000.0,120000.0,64000.0,62000.0,2900.0,1400.0,1500.0,1100000.0,410000.0,190000.0,51000.0,46000.0,94000.0,560000.0,270000.0,94000.0,190000.0,40000.0,12000.0,4300.0,24000.0,640000.0,300000.0,1500000.0,100000.0,730000.0,340000.0,120000.0,44000.0,170000.0,600000.0,390000.0,800000.0,450000.0,190000.0,110000.0,140000.0,65000.0,15000.0,4700.0,2100.0,7000.0,8300.0,7900.0,52000.0,27000.0,25000.0,23000.0,11000.0,12000.0,63000.0,45000.0,20000.0,11000.0,23000.0,14000.0,22000.0,130000.0,180000.0,1700000.0,1500000.0,0.7222,0.0765,72.22,7.65,False,4.55,-4.55,3.07,-3.07,-2.0,6.21,6.96,-9.95,-1.22,-2.5,0.83,1.66,-3.98,-7.51,11.49,,,79K,38K,40K,48K,27K,22K,13K,2.7K,3.4K,5.8K,6.6K,6.8K,55K,23K,8.7K,29K,23K,26K,1.7K,1.0K,1.0K,1.0K,1.0K,1.0K,50K,26K,24K,26K,12K,13K,120K,64K,62K,2.9K,1.4K,1.5K,1.1M,410K,190K,51K,46K,94K,560K,270K,94K,190K,40K,12K,4.3K,24K,640K,300K,1.5M,100K,730K,340K,120K,44K,170K,600K,390K,800K,450K,190K,110K,140K,65K,15K,4.7K,2.1K,7.0K,8.3K,7.9K,52K,27K,25K,23K,11K,12K,63K,45K,20K,11K,23K,14K,22K
"Cartagena, Bolivar, Colombia",City,67.83,26.26,11.93,36.88,2.39,42.22,17.78,76.32,5.91,47.78,20.61,40.0,23.68,52.22,28.2,63.06,34.23,9.59,42.63,1.78,40.0,21.82,79.41,2.7,49.09,12.26,38.18,20.59,50.91,33.75,Monthly,35000.0,17000.0,18000.0,19000.0,10000.0,8500.0,5400.0,1100.0,1600.0,2500.0,2800.0,2900.0,24000.0,10000.0,4100.0,12000.0,8900.0,11000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,22000.0,11000.0,11000.0,12000.0,5400.0,6200.0,54000.0,26000.0,27000.0,1500.0,1000.0,1000.0,620000.0,240000.0,110000.0,26000.0,27000.0,56000.0,340000.0,170000.0,51000.0,120000.0,22000.0,6300.0,2400.0,13000.0,380000.0,160000.0,870000.0,54000.0,430000.0,190000.0,68000.0,23000.0,98000.0,360000.0,270000.0,470000.0,260000.0,110000.0,62000.0,83000.0,27000.0,6900.0,2200.0,1000.0,3300.0,3700.0,3600.0,21000.0,11000.0,10000.0,14000.0,6400.0,7300.0,28000.0,19000.0,8100.0,5000.0,9600.0,5900.0,9600.0,55000.0,100000.0,1000000.0,910000.0,0.5500,0.0550,55.00,5.50,False,3.1,-3.1,1.31,-1.31,-2.34,5.55,5.75,-8.35,-0.61,-2.22,4.04,-1.82,-3.21,-4.77,7.98,,,35K,17K,18K,19K,10K,8.5K,5.4K,1.1K,1.6K,2.5K,2.8K,2.9K,24K,10K,4.1K,12K,8.9K,11K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,22K,11K,11K,12K,5.4K,6.2K,54K,26K,27K,1.5K,1.0K,1.0K,620K,240K,110K,26K,27K,56K,340K,170K,51K,120K,22K,6.3K,2.4K,13K,380K,160K,870K,54K,430K,190K,68K,23K,98K,360K,270K,470K,260K,110K,62K,83K,27K,6.9K,2.2K,1.0K,3.3K,3.7K,3.6K,21K,11K,10K,14K,6.4K,7.3K,28K,19K,8.1K,5.0K,9.6K,5.9K,9.6K
"Uribia, La Guajira, Colombia",City,58.16,34.75,20.98,30.07,6.99,31.06,20.45,67.9,7.09,46.97,9.79,48.48,32.1,53.03,32.17,41.03,33.33,19.23,19.23,19.23,31.25,31.25,71.43,25.64,51.72,19.23,37.5,28.57,48.28,23.08,Monthly,1600.0,1000.0,1000.0,1300.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2500.0,1300.0,1200.0,1000.0,1000.0,1000.0,8200.0,4900.0,3000.0,1000.0,1000.0,1800.0,4300.0,1800.0,1000.0,1800.0,1000.0,1000.0,1000.0,1000.0,4100.0,2700.0,11000.0,1000.0,6200.0,1400.0,1000.0,1000.0,1000.0,6400.0,5200.0,7000.0,4600.0,1500.0,1100.0,2000.0,1500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1200.0,1000.0,1000.0,1000.0,1000.0,1000.0,1400.0,1200.0,1000.0,1000.0,1000.0,1000.0,1000.0,2900.0,3200.0,17000.0,13000.0,0.9062,0.1706,90.62,17.06,False,3.53,-3.53,4.75,-4.75,-1.75,-9.09,-10.84,9.44,12.24,0.19,10.8,-10.98,18.55,-17.13,-1.42,,,1.6K,1.0K,1.0K,1.3K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,2.5K,1.3K,1.2K,1.0K,1.0K,1.0K,8.2K,4.9K,3.0K,1.0K,1.0K,1.8K,4.3K,1.8K,1.0K,1.8K,1.0K,1.0K,1.0K,1.0K,4.1K,2.7K,11K,1.0K,6.2K,1.4K,1.0K,1.0K,1.0K,6.4K,5.2K,7.0K,4.6K,1.5K,1.1K,2.0K,1.5K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.2K,1.0K,1.0K,1.0K,1.0K,1.0K,1.4K,1.2K,1.0K,1.0K,1.0K,1.0K,1.0K
"Maicao, La Guajira, Colombia",City,65.4,31.34,17.78,34.2,1.5,37.5,18.06,76.14,3.27,47.22,15.05,44.44,23.86,52.78,31.46,50.36,42.34,13.14,37.23,7.3,35.16,20.31,80.0,7.3,51.18,8.03,44.53,20.0,48.82,34.31,Monthly,6900.0,3300.0,3600.0,5800.0,3200.0,2600.0,1800.0,1000.0,1000.0,1000.0,1000.0,1000.0,5100.0,2000.0,1000.0,2600.0,2300.0,2500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,4500.0,2300.0,2200.0,2600.0,1300.0,1300.0,12000.0,6000.0,5700.0,1000.0,1000.0,1000.0,48000.0,23000.0,13000.0,3000.0,3100.0,7000.0,25000.0,11000.0,3900.0,10000.0,1100.0,1000.0,1000.0,1000.0,27000.0,13000.0,67000.0,2400.0,34000.0,11000.0,3300.0,1200.0,6400.0,32000.0,21000.0,38000.0,23000.0,9200.0,5100.0,8600.0,6500.0,1100.0,1000.0,1000.0,1000.0,1000.0,1000.0,5700.0,2900.0,2700.0,3000.0,1400.0,1600.0,6200.0,4700.0,1900.0,1200.0,2500.0,1700.0,2300.0,13000.0,15000.0,86000.0,72000.0,0.8667,0.1512,86.67,15.12,False,3.86,-3.86,3.96,-3.96,-4.65,2.84,3.03,-7.02,5.79,-2.34,2.26,0.09,4.03,-15.03,11.0,,,6.9K,3.3K,3.6K,5.8K,3.2K,2.6K,1.8K,1.0K,1.0K,1.0K,1.0K,1.0K,5.1K,2.0K,1.0K,2.6K,2.3K,2.5K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,4.5K,2.3K,2.2K,2.6K,1.3K,1.3K,12K,6.0K,5.7K,1.0K,1.0K,1.0K,48K,23K,13K,3.0K,3.1K,7.0K,25K,11K,3.9K,10K,1.1K,1.0K,1.0K,1.0K,27K,13K,67K,2.4K,34K,11K,3.3K,1.2K,6.4K,32K,21K,38K,23K,9.2K,5.1K,8.6K,6.5K,1.1K,1.0K,1.0K,1.0K,1.0K,1.0K,5.7K,2.9K,2.7K,3.0K,1.4K,1.6K,6.2K,4.7K,1.9K,1.2K,2.5K,1.7K,2.3K
"Fortul, Arauca, Colombia",City,59.04,28.92,17.86,30.95,11.9,26.03,19.18,60.87,12.05,47.95,11.9,54.79,39.13,52.05,27.38,33.33,33.33,20.0,20.0,20.0,33.33,33.33,50.0,33.33,50.0,20.0,33.33,50.0,50.0,20.0,Monthly,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,4900.0,2400.0,1500.0,1000.0,1000.0,1000.0,2600.0,1000.0,1000.0,1300.0,1000.0,1000.0,1000.0,1000.0,1900.0,1400.0,5600.0,1000.0,3500.0,1000.0,1000.0,1000.0,1000.0,4000.0,3600.0,3800.0,2300.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,8100.0,7300.0,1.0000,0.1235,100.00,12.35,True,-10.87,10.87,2.05,-2.05,2.14,-7.38,-10.95,8.1,8.1,7.31,14.16,-21.46,21.29,-25.7,4.42,,,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,4.9K,2.4K,1.5K,1.0K,1.0K,1.0K,2.6K,1.0K,1.0K,1.3K,1.0K,1.0K,1.0K,1.0K,1.9K,1.4K,5.6K,1.0K,3.5K,1.0K,1.0K,1.0K,1.0K,4.0K,3.6K,3.8K,2.3K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K
"Saravena, Arauca, Colombia",City,65.89,30.23,15.91,34.09,3.79,29.6,22.4,66.67,3.88,48.0,15.91,48.0,33.33,52.0,30.3,44.74,28.95,18.87,20.75,18.87,29.41,29.41,72.22,26.32,48.28,18.87,41.18,27.78,51.72,22.64,Monthly,1700.0,1000.0,1000.0,1100.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1100.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2600.0,1300.0,1400.0,1000.0,1000.0,1000.0,17000.0,7800.0,4200.0,1000.0,1300.0,2500.0,9000.0,3400.0,1600.0,4000.0,1000.0,1000.0,1000.0,1000.0,7400.0,5600.0,22000.0,1000.0,12000.0,4200.0,1100.0,1000.0,2600.0,12000.0,11000.0,13000.0,8000.0,2500.0,2300.0,3300.0,1400.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1400.0,1000.0,1000.0,1000.0,1000.0,1000.0,1500.0,1200.0,1000.0,1000.0,1000.0,1000.0,1000.0,2900.0,3500.0,29000.0,25000.0,0.8286,0.1000,82.86,10.00,False,5.56,-5.56,0.28,-0.28,2.96,-7.66,-13.34,2.96,15.08,-0.19,7.01,-6.82,22.44,-21.15,-1.29,,,1.7K,1.0K,1.0K,1.1K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.1K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,2.6K,1.3K,1.4K,1.0K,1.0K,1.0K,17K,7.8K,4.2K,1.0K,1.3K,2.5K,9.0K,3.4K,1.6K,4.0K,1.0K,1.0K,1.0K,1.0K,7.4K,5.6K,22K,1.0K,12K,4.2K,1.1K,1.0K,2.6K,12K,11K,13K,8.0K,2.5K,2.3K,3.3K,1.4K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.4K,1.0K,1.0K,1.0K,1.0K,1.0K,1.5K,1.2K,1.0K,1.0K,1.0K,1.0K,1.0K
"Villa del Rosario, Norte de Santander, Colombia",City,69.83,24.58,12.09,35.71,2.75,32.97,20.33,47.83,5.59,47.22,21.98,46.7,52.17,52.78,27.47,54.79,31.51,12.66,35.44,12.66,38.46,21.54,62.65,13.7,50.0,12.66,40.0,37.35,50.0,26.58,Monthly,4000.0,1900.0,2200.0,2300.0,1300.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2800.0,1200.0,1000.0,1500.0,1100.0,1300.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2500.0,1200.0,1200.0,1400.0,1000.0,1000.0,5200.0,2700.0,2500.0,1000.0,1000.0,1000.0,25000.0,8800.0,4400.0,1000.0,1200.0,2600.0,13000.0,5300.0,2500.0,5600.0,1000.0,1000.0,1000.0,1000.0,12000.0,7400.0,22000.0,2000.0,17000.0,8000.0,2200.0,1000.0,4800.0,17000.0,24000.0,19000.0,10000.0,3500.0,2800.0,4000.0,3200.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2600.0,1400.0,1200.0,3100.0,1500.0,1700.0,3200.0,2100.0,1000.0,1000.0,1000.0,1000.0,1100.0,6500.0,8100.0,44000.0,36000.0,0.8025,0.1477,80.25,14.77,False,14.82,-14.82,2.78,-2.78,0.57,-0.89,-0.27,-9.32,9.91,5.49,1.21,-6.7,8.11,-15.04,6.93,,,4.0K,1.9K,2.2K,2.3K,1.3K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,2.8K,1.2K,1.0K,1.5K,1.1K,1.3K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,2.5K,1.2K,1.2K,1.4K,1.0K,1.0K,5.2K,2.7K,2.5K,1.0K,1.0K,1.0K,25K,8.8K,4.4K,1.0K,1.2K,2.6K,13K,5.3K,2.5K,5.6K,1.0K,1.0K,1.0K,1.0K,12K,7.4K,22K,2.0K,17K,8.0K,2.2K,1.0K,4.8K,17K,24K,19K,10K,3.5K,2.8K,4.0K,3.2K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,2.6K,1.4K,1.2K,3.1K,1.5K,1.7K,3.2K,2.1K,1.0K,1.0K,1.0K,1.0K,1.1K
