Location,LocationHierarchy,audience_man,audience_woman,Frequency,%ven_audience_man,%ven_audience_woman,audience_adolecent,audience_young_adult,audience_middle_age,audience_elder,audience_adult,%ven_audience_adolecent,%ven_audience_young_adult,%ven_audience_adult,%ven_audience_middle_age,%ven_audience_elder,audience_locals_man,audience_locals_woman,%locals_audience_man,%locals_audience_woman,audience_locals_adolecent,audience_locals_young_adult,audience_locals_middle_age,audience_locals_elder,audience_locals_adult,%locals_audience_adolecent,%locals_audience_young_adult,%locals_audience_adult,%locals_audience_middle_age,%locals_audience_elder,audience_adolecent_man,audience_young_adult_man,audience_middle_age_man,audience_elder_man,audience_adult_man,audience_adolecent_woman,audience_young_adult_woman,audience_middle_age_woman,audience_elder_woman,audience_adult_woman,audience_home,audience_recent,%ven_audience_home,%ven_audience_recent,audience_locals_home,audience_locals_recent,%locals_audience_home,%locals_audience_recent,audience_home_man,audience_recent_man,audience_home_woman,audience_recent_woman,audience_iOS,audience_Android,audience_Other,%ven_audience_iOS,%ven_audience_Android,%ven_audience_Other,audience_iOS_man,audience_Android_man,audience_Other_man,audience_iOS_woman,audience_Android_woman,audience_Other_woman,audience_locals_iOS,audience_locals_Android,audience_locals_Other,%locals_audience_iOS,%locals_audience_Android,%locals_audience_Other,venezuelans,allmigrants,allpopulation,allnonmigrant,ven/migrants,ven/pop,100ven/migrants,100ven/pop,not_enough_data,%diff_audience_home,%diff_audience_recent,%diff_audience_man,%diff_audience_woman,%diff_audience_adolecent,%diff_audience_young_adult,%diff_audience_adult,%diff_audience_middle_age,%diff_audience_elder,%diff_audience_iOS,%diff_audience_Android,%diff_audience_Other,ramv_venezuelans,fb/ramv,display_audience_man,display_audience_woman,display_audience_adolecent,display_audience_young_adult,display_audience_middle_age,display_audience_elder,display_audience_adult,display_audience_locals_man,display_audience_locals_woman,display_audience_locals_adolecent,display_audience_locals_young_adult,display_audience_locals_middle_age,display_audience_locals_elder,display_audience_locals_adult,display_audience_adolecent_man,display_audience_young_adult_man,display_audience_middle_age_man,display_audience_elder_man,display_audience_adult_man,display_audience_adolecent_woman,display_audience_young_adult_woman,display_audience_middle_age_woman,display_audience_elder_woman,display_audience_adult_woman,display_audience_home,display_audience_recent,display_audience_locals_home,display_audience_locals_recent,display_audience_home_man,display_audience_recent_man,display_audience_home_woman,display_audience_recent_woman,display_audience_iOS,display_audience_Android,display_audience_Other,display_audience_iOS_man,display_audience_Android_man,display_audience_Other_man,display_audience_iOS_woman,display_audience_Android_woman,display_audience_Other_woman,display_audience_locals_iOS,display_audience_locals_Android,display_audience_locals_Other
"Antioquia, Colombia",State,42000.0,36000.0,Monthly,53.85,46.15,4700.0,26000.0,11000.0,1300.0,37000.0,5.88,32.5,46.25,13.75,1.62,2000000.0,2100000.0,48.78,51.22,480000.0,1200000.0,870000.0,110000.0,1500000.0,11.54,28.85,36.06,20.91,2.64,2200.0,14000.0,5200.0,1000.0,21000.0,2500.0,12000.0,5500.0,1000.0,16000.0,76000.0,26000.0,74.51,25.49,4100000.0,1400000.0,74.55,25.45,41000.0,14000.0,35000.0,12000.0,4400.0,51000.0,25000.0,5.47,63.43,31.09,2200.0,27000.0,14000.0,2200.0,25000.0,9800.0,300000.0,2800000.0,1000000.0,7.32,68.29,24.39,78000.0,200000.0,4400000.0,4100000.0,0.3900,0.0177,39.00,1.77,False,-0.04,0.04,5.07,-5.07,-5.66,3.65,10.19,-7.16,-1.02,-1.84,-4.86,6.7,21850.0,3.5697940503432495,42K,36K,4.7K,26K,11K,1.3K,37K,2.0M,2.1M,480K,1.2M,870K,110K,1.5M,2.2K,14K,5.2K,1.0K,21K,2.5K,12K,5.5K,1.0K,16K,76K,26K,4.1M,1.4M,41K,14K,35K,12K,4.4K,51K,25K,2.2K,27K,14K,2.2K,25K,9.8K,300K,2.8M,1.0M
"Antioquia, Colombia",State,22853.0,21313.0,Daily,51.74,48.26,2272.0,15279.0,5221.0,433.0,19543.0,5.31,35.74,45.72,12.21,1.01,1126399.0,1299759.0,46.43,53.57,230023.0,709759.0,498335.0,55106.0,923199.0,9.52,29.37,38.21,20.62,2.28,799.0,8627.0,2595.0,749.0,11865.0,1816.0,7438.0,3074.0,428.0,9853.0,42986.0,19307.0,69.01,30.99,2372533.0,1063999.0,69.04,30.96,22901.0,10064.0,20366.0,8595.0,2539.0,30826.0,11218.0,5.69,69.14,25.16,1171.0,15845.0,6078.0,1288.0,15505.0,4671.0,208631.0,1844266.0,325333.0,8.77,77.55,13.68,43528.0,103130.0,2549653.0,2393306.0,0.4221,0.0171,42.21,1.71,False,-0.03,0.03,5.32,-5.32,-4.2,6.37,7.51,-8.41,-1.27,-3.08,-8.4,11.48,21850.0,1.9921281464530893,22K,21K,2.2K,15K,5.2K,433,19K,1.1M,1.2M,230K,709K,498K,55K,923K,799,8.6K,2.5K,749,11K,1.8K,7.4K,3.0K,428,9.8K,42K,19K,2.3M,1.0M,22K,10K,20K,8.5K,2.5K,30K,11K,1.1K,15K,6.0K,1.2K,15K,4.6K,208K,1.8M,325K
"Arauca, Colombia",State,6500.0,6900.0,Monthly,48.51,51.49,1600.0,5400.0,1100.0,1000.0,5200.0,11.19,37.76,36.36,7.69,6.99,61000.0,62000.0,49.59,50.41,20000.0,36000.0,21000.0,1600.0,45000.0,16.18,29.13,36.41,16.99,1.29,1000.0,2600.0,1000.0,1000.0,2600.0,1000.0,2800.0,1000.0,1000.0,2600.0,13000.0,3600.0,78.31,21.69,110000.0,49000.0,69.18,30.82,6100.0,1600.0,6400.0,2000.0,1000.0,8100.0,5200.0,6.99,56.64,36.36,1000.0,3600.0,2800.0,1000.0,4500.0,2400.0,3800.0,83000.0,36000.0,3.09,67.59,29.32,13000.0,17000.0,140000.0,120000.0,0.7647,0.0929,76.47,9.29,False,9.13,-9.13,-1.09,1.09,-4.99,8.64,-0.04,-9.3,5.7,3.9,-10.95,7.05,26261.0,0.49503065382125583,6.5K,6.9K,1.6K,5.4K,1.1K,1.0K,5.2K,61K,62K,20K,36K,21K,1.6K,45K,1.0K,2.6K,1.0K,1.0K,2.6K,1.0K,2.8K,1.0K,1.0K,2.6K,13K,3.6K,110K,49K,6.1K,1.6K,6.4K,2.0K,1.0K,8.1K,5.2K,1.0K,3.6K,2.8K,1.0K,4.5K,2.4K,3.8K,83K,36K
"Arauca, Colombia",State,2618.0,3910.0,Daily,40.1,59.9,909.0,2386.0,659.0,997.0,2504.0,12.19,32.01,33.59,8.84,13.37,31435.0,35293.0,47.11,52.89,9207.0,20630.0,10999.0,580.0,27132.0,13.43,30.1,39.58,16.05,0.85,499.0,920.0,599.0,0.0,1044.0,555.0,1375.0,599.0,997.0,1485.0,6519.0,2467.0,72.55,27.45,59827.0,35183.0,62.97,37.03,2984.0,999.0,3547.0,1269.0,997.0,4401.0,2400.0,12.79,56.44,30.78,997.0,2313.0,508.0,0.0,2353.0,1235.0,2678.0,55113.0,15247.0,3.67,75.46,20.88,6507.0,8151.0,78762.0,67233.0,0.7983,0.0826,79.83,8.26,False,9.58,-9.58,-7.0,7.0,-1.24,1.91,-5.99,-7.21,12.53,9.12,-19.02,9.9,26261.0,0.24778188187807015,2.6K,3.9K,909,2.3K,659,997,2.5K,31K,35K,9.2K,20K,10K,580,27K,499,920,599,0,1.0K,555,1.3K,599,997,1.4K,6.5K,2.4K,59K,35K,2.9K,999,3.5K,1.2K,997,4.4K,2.4K,997,2.3K,508,0,2.3K,1.2K,2.6K,55K,15K
"Atlantico, Colombia",State,66000.0,62000.0,Monthly,51.56,48.44,13000.0,46000.0,15000.0,1600.0,55000.0,9.95,35.22,42.11,11.49,1.23,810000.0,880000.0,47.93,52.07,220000.0,490000.0,360000.0,42000.0,620000.0,12.7,28.29,35.8,20.79,2.42,6000.0,24000.0,6900.0,1000.0,29000.0,7100.0,22000.0,7800.0,1000.0,25000.0,130000.0,25000.0,83.87,16.13,1700000.0,440000.0,79.44,20.56,65000.0,12000.0,61000.0,13000.0,2900.0,81000.0,45000.0,2.25,62.84,34.91,1400.0,40000.0,25000.0,1500.0,42000.0,20000.0,110000.0,1200000.0,430000.0,6.32,68.97,24.71,130000.0,190000.0,1900000.0,1700000.0,0.6842,0.0684,68.42,6.84,False,4.43,-4.43,3.63,-3.63,-2.75,6.93,6.32,-9.3,-1.2,-4.07,-6.13,10.2,42771.0,3.039442612985434,66K,62K,13K,46K,15K,1.6K,55K,810K,880K,220K,490K,360K,42K,620K,6.0K,24K,6.9K,1.0K,29K,7.1K,22K,7.8K,1.0K,25K,130K,25K,1.7M,440K,65K,12K,61K,13K,2.9K,81K,45K,1.4K,40K,25K,1.5K,42K,20K,110K,1.2M,430K
"Atlantico, Colombia",State,30850.0,33115.0,Daily,48.23,51.77,4459.0,22666.0,7898.0,940.0,27799.0,6.99,35.55,43.6,12.39,1.47,400949.0,492564.0,44.87,55.13,77982.0,249507.0,207795.0,22823.0,358607.0,8.51,27.22,39.12,22.67,2.49,2368.0,11222.0,3501.0,444.0,14204.0,2858.0,12064.0,4435.0,499.0,13157.0,61236.0,17641.0,77.63,22.37,864959.0,345049.0,71.48,28.52,30035.0,8523.0,31244.0,10978.0,1613.0,44123.0,17889.0,2.54,69.35,28.12,949.0,20737.0,8236.0,749.0,24103.0,7959.0,72501.0,722879.0,127642.0,7.85,78.32,13.83,64746.0,91566.0,1003199.0,894426.0,0.7071,0.0645,70.71,6.45,False,6.15,-6.15,3.36,-3.36,-1.51,8.33,4.48,-10.28,-1.02,-5.32,-8.97,14.29,42771.0,1.5137827032334994,30K,33K,4.4K,22K,7.8K,940,27K,400K,492K,77K,249K,207K,22K,358K,2.3K,11K,3.5K,444,14K,2.8K,12K,4.4K,499,13K,61K,17K,864K,345K,30K,8.5K,31K,10K,1.6K,44K,17K,949,20K,8.2K,749,24K,7.9K,72K,722K,127K
"Santander, Colombia",State,25000.0,24000.0,Monthly,51.02,48.98,3500.0,17000.0,6300.0,1000.0,22000.0,7.03,34.14,44.18,12.65,2.01,660000.0,700000.0,48.53,51.47,150000.0,380000.0,320000.0,35000.0,500000.0,10.83,27.44,36.1,23.1,2.53,1600.0,9200.0,3000.0,1000.0,11000.0,1900.0,8400.0,3300.0,1000.0,9900.0,48000.0,16000.0,75.0,25.0,1300000.0,520000.0,71.43,28.57,24000.0,7900.0,22000.0,8300.0,1500.0,32000.0,16000.0,3.03,64.65,32.32,1000.0,15000.0,9400.0,1000.0,16000.0,7000.0,89000.0,950000.0,340000.0,6.45,68.89,24.66,50000.0,93000.0,1400000.0,1300000.0,0.5376,0.0357,53.76,3.57,False,3.57,-3.57,2.49,-2.49,-3.8,6.7,8.08,-10.45,-0.52,-3.42,-4.24,7.67,10832.0,4.6159527326440175,25K,24K,3.5K,17K,6.3K,1.0K,22K,660K,700K,150K,380K,320K,35K,500K,1.6K,9.2K,3.0K,1.0K,11K,1.9K,8.4K,3.3K,1.0K,9.9K,48K,16K,1.3M,520K,24K,7.9K,22K,8.3K,1.5K,32K,16K,1.0K,15K,9.4K,1.0K,16K,7.0K,89K,950K,340K
"Santander, Colombia",State,14351.0,14042.0,Daily,50.54,49.46,2296.0,10087.0,3759.0,0.0,12409.0,8.04,35.33,43.46,13.17,0.0,384031.0,455092.0,45.77,54.23,81520.0,237618.0,192468.0,19374.0,327732.0,9.49,27.67,38.17,22.41,2.26,1065.0,5083.0,1825.0,332.0,6308.0,1447.0,5058.0,1885.0,0.0,6128.0,27623.0,11659.0,70.32,29.68,802186.0,406254.0,66.38,33.62,14715.0,6543.0,13251.0,5291.0,759.0,19474.0,7265.0,2.76,70.82,26.42,555.0,9520.0,4388.0,833.0,9886.0,3156.0,65655.0,667533.0,117074.0,7.72,78.51,13.77,29702.0,53272.0,859786.0,815706.0,0.5576,0.0345,55.76,3.45,False,3.94,-3.94,4.78,-4.78,-1.45,7.66,5.3,-9.25,-2.26,-4.96,-7.69,12.65,10832.0,2.7420605612998523,14K,14K,2.2K,10K,3.7K,0,12K,384K,455K,81K,237K,192K,19K,327K,1.0K,5.0K,1.8K,332,6.3K,1.4K,5.0K,1.8K,0,6.1K,27K,11K,802K,406K,14K,6.5K,13K,5.2K,759,19K,7.2K,555,9.5K,4.3K,833,9.8K,3.1K,65K,667K,117K
"Bolivar, Colombia",State,29000.0,30000.0,Monthly,49.15,50.85,6100.0,21000.0,7100.0,1000.0,25000.0,10.13,34.88,41.53,11.79,1.66,540000.0,570000.0,48.65,51.35,150000.0,320000.0,220000.0,25000.0,420000.0,13.22,28.19,37.0,19.38,2.2,2800.0,10000.0,3400.0,1000.0,13000.0,3300.0,10000.0,1000.0,1000.0,12000.0,57000.0,15000.0,79.17,20.83,1100000.0,330000.0,76.92,23.08,28000.0,7000.0,29000.0,8000.0,1500.0,39000.0,19000.0,2.52,65.55,31.93,1000.0,18000.0,10000.0,1000.0,21000.0,8500.0,55000.0,790000.0,290000.0,4.85,69.6,25.55,59000.0,110000.0,1200000.0,1100000.0,0.5364,0.0492,53.64,4.92,False,2.24,-2.24,0.5,-0.5,-3.08,6.69,4.52,-7.59,-0.54,-2.32,-4.06,6.38,24395.0,2.418528386964542,29K,30K,6.1K,21K,7.1K,1.0K,25K,540K,570K,150K,320K,220K,25K,420K,2.8K,10K,3.4K,1.0K,13K,3.3K,10K,1.0K,1.0K,12K,57K,15K,1.1M,330K,28K,7.0K,29K,8.0K,1.5K,39K,19K,1.0K,18K,10K,1.0K,21K,8.5K,55K,790K,290K
"Bolivar, Colombia",State,531.0,14943.0,Daily,3.43,96.57,2438.0,10043.0,537.0,599.0,13664.0,8.94,36.81,50.09,1.97,2.2,279503.0,309623.0,47.44,52.56,54578.0,161023.0,125025.0,10849.0,243603.0,9.17,27.06,40.94,21.01,1.82,1116.0,4429.0,1859.0,997.0,8408.0,1222.0,449.0,585.0,666.0,6668.0,29608.0,10562.0,73.71,26.29,571412.0,248527.0,69.69,30.31,15262.0,4641.0,14661.0,5751.0,936.0,23581.0,7252.0,2.95,74.23,22.83,599.0,10106.0,4331.0,399.0,12116.0,3645.0,37489.0,467679.0,93556.0,6.26,78.11,15.63,30752.0,54472.0,610879.0,579626.0,0.5645,0.0503,56.45,5.03,False,4.02,-4.02,-44.01,44.01,-0.23,9.75,9.15,-19.04,0.37,-3.32,-3.89,7.2,24395.0,1.2605861856937897,531,14K,2.4K,10K,537,599,13K,279K,309K,54K,161K,125K,10K,243K,1.1K,4.4K,1.8K,997,8.4K,1.2K,449,585,666,6.6K,29K,10K,571K,248K,15K,4.6K,14K,5.7K,936,23K,7.2K,599,10K,4.3K,399,12K,3.6K,37K,467K,93K
"Boyaca, Colombia",State,3400.0,2600.0,Monthly,56.67,43.33,1000.0,2200.0,1000.0,1000.0,2700.0,12.66,27.85,34.18,12.66,12.66,270000.0,280000.0,49.09,50.91,81000.0,160000.0,110000.0,12000.0,190000.0,14.65,28.93,34.36,19.89,2.17,1000.0,1200.0,1000.0,1000.0,1600.0,1000.0,1000.0,1000.0,1000.0,1100.0,4900.0,2600.0,65.33,34.67,500000.0,240000.0,67.57,32.43,2800.0,1500.0,2200.0,1200.0,1000.0,3800.0,2100.0,14.49,55.07,30.43,1000.0,2000.0,1300.0,1000.0,1800.0,1000.0,25000.0,400000.0,130000.0,4.5,72.07,23.42,6000.0,17000.0,570000.0,560000.0,0.3529,0.0105,35.29,1.05,False,-2.23,2.23,7.58,-7.58,-1.99,-1.08,-0.18,-7.23,10.49,9.99,-17.0,7.01,3822.0,1.5698587127158556,3.4K,2.6K,1.0K,2.2K,1.0K,1.0K,2.7K,270K,280K,81K,160K,110K,12K,190K,1.0K,1.2K,1.0K,1.0K,1.6K,1.0K,1.0K,1.0K,1.0K,1.1K,4.9K,2.6K,500K,240K,2.8K,1.5K,2.2K,1.2K,1.0K,3.8K,2.1K,1.0K,2.0K,1.3K,1.0K,1.8K,1.0K,25K,400K,130K
"Boyaca, Colombia",State,2240.0,1578.0,Daily,58.67,41.33,665.0,1282.0,832.0,997.0,1403.0,12.84,24.75,27.09,16.06,19.25,167184.0,182334.0,47.83,52.17,44454.0,101935.0,70229.0,6624.0,132893.0,12.48,28.62,37.32,19.72,1.86,332.0,599.0,332.0,0.0,979.0,749.0,749.0,332.0,997.0,628.0,2996.0,2146.0,58.27,41.73,314560.0,186816.0,62.74,37.26,1348.0,1153.0,918.0,959.0,799.0,2464.0,820.0,19.57,60.35,20.08,666.0,1374.0,556.0,997.0,852.0,499.0,20000.0,286283.0,48090.0,5.64,80.79,13.57,3491.0,9348.0,361151.0,351679.0,0.3734,0.0097,37.34,0.97,False,-4.47,4.47,10.84,-10.84,0.36,-3.87,-10.23,-3.65,17.39,13.93,-20.44,6.51,3822.0,0.913396127681842,2.2K,1.5K,665,1.2K,832,997,1.4K,167K,182K,44K,101K,70K,6.6K,132K,332,599,332,0,979,749,749,332,997,628,2.9K,2.1K,314K,186K,1.3K,1.1K,918,959,799,2.4K,820,666,1.3K,556,997,852,499,20K,286K,48K
"Caqueta, Colombia",State,1000.0,1000.0,Monthly,50.0,50.0,1000.0,1000.0,1000.0,1000.0,1000.0,20.0,20.0,20.0,20.0,20.0,98000.0,100000.0,49.49,50.51,36000.0,64000.0,34000.0,3000.0,70000.0,17.39,30.92,33.82,16.43,1.45,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,190000.0,79000.0,70.63,29.37,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,33.33,33.33,33.33,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,5100.0,140000.0,62000.0,2.46,67.6,29.94,1100.0,9700.0,210000.0,200000.0,0.1134,0.0052,11.34,0.52,False,-20.63,20.63,0.51,-0.51,2.61,-10.92,-13.82,3.57,18.55,30.87,-34.27,3.4,35.0,31.428571428571427,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,98K,100K,36K,64K,34K,3.0K,70K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,190K,79K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,5.1K,140K,62K
"Caqueta, Colombia",State,570.0,499.0,Daily,53.32,46.68,0.0,999.0,0.0,0.0,599.0,0.0,62.52,37.48,0.0,0.0,51040.0,59079.0,46.35,53.65,14925.0,35674.0,20528.0,1599.0,42422.0,12.96,30.98,36.84,17.83,1.39,997.0,0.0,0.0,0.0,499.0,332.0,664.0,0.0,0.0,498.0,416.0,332.0,55.61,44.39,103218.0,59518.0,63.43,36.57,499.0,498.0,333.0,0.0,997.0,555.0,664.0,44.99,25.05,29.96,0.0,570.0,0.0,0.0,333.0,664.0,4391.0,90432.0,18125.0,3.89,80.07,16.05,471.0,6246.0,116372.0,110733.0,0.0754,0.0040,7.54,0.40,True,-7.81,7.81,6.97,-6.97,-12.96,31.53,0.64,-17.83,-1.39,41.1,-55.02,13.92,35.0,13.457142857142857,570,499,0,999,0,0,599,51K,59K,14K,35K,20K,1.5K,42K,997,0,0,0,499,332,664,0,0,498,416,332,103K,59K,499,498,333,0,997,555,664,0,570,0,0,333,664,4.3K,90K,18K
"Cauca, Colombia",State,2200.0,1800.0,Monthly,55.0,45.0,1000.0,1300.0,1000.0,1000.0,1800.0,16.39,21.31,29.51,16.39,16.39,300000.0,310000.0,49.18,50.82,100000.0,190000.0,110000.0,12000.0,210000.0,16.08,30.55,33.76,17.68,1.93,1000.0,1000.0,1000.0,1000.0,1100.0,1000.0,1000.0,1000.0,1000.0,1000.0,3300.0,1800.0,64.71,35.29,560000.0,230000.0,70.89,29.11,1800.0,1000.0,1500.0,1000.0,1000.0,2700.0,1300.0,20.0,54.0,26.0,1000.0,1400.0,1000.0,1000.0,1300.0,1000.0,21000.0,420000.0,170000.0,3.44,68.74,27.82,4000.0,20000.0,630000.0,610000.0,0.2000,0.0063,20.00,0.63,False,-6.18,6.18,5.82,-5.82,0.32,-9.24,-4.25,-1.29,14.46,16.56,-14.74,-1.82,1084.0,3.690036900369004,2.2K,1.8K,1.0K,1.3K,1.0K,1.0K,1.8K,300K,310K,100K,190K,110K,12K,210K,1.0K,1.0K,1.0K,1.0K,1.1K,1.0K,1.0K,1.0K,1.0K,1.0K,3.3K,1.8K,560K,230K,1.8K,1.0K,1.5K,1.0K,1.0K,2.7K,1.3K,1.0K,1.4K,1.0K,1.0K,1.3K,1.0K,21K,420K,170K
"Cauca, Colombia",State,1306.0,1412.0,Daily,48.05,51.95,333.0,1082.0,332.0,0.0,835.0,12.9,41.91,32.34,12.86,0.0,157096.0,176327.0,47.12,52.88,42824.0,101870.0,59074.0,5634.0,125316.0,12.79,30.43,37.44,17.65,1.68,0.0,332.0,664.0,0.0,672.0,997.0,888.0,333.0,0.0,0.0,1678.0,1349.0,55.43,44.57,296127.0,163819.0,64.38,35.62,899.0,857.0,1031.0,665.0,0.0,1689.0,649.0,0.0,72.24,27.76,0.0,1017.0,333.0,0.0,699.0,749.0,14896.0,254995.0,54598.0,4.59,78.58,16.83,2203.0,9429.0,346415.0,337370.0,0.2336,0.0064,23.36,0.64,False,-8.95,8.95,0.93,-0.93,0.1,11.47,-5.1,-4.79,-1.68,-4.59,-6.34,10.93,1084.0,2.032287822878229,1.3K,1.4K,333,1.0K,332,0,835,157K,176K,42K,101K,59K,5.6K,125K,0,332,664,0,672,997,888,333,0,0,1.6K,1.3K,296K,163K,899,857,1.0K,665,0,1.6K,649,0,1.0K,333,0,699,749,14K,254K,54K
"Cesar, Colombia",State,15000.0,15000.0,Monthly,50.0,50.0,3500.0,11000.0,3300.0,1000.0,12000.0,11.36,35.71,38.96,10.71,3.25,290000.0,310000.0,48.33,51.67,99000.0,180000.0,110000.0,10000.0,210000.0,16.26,29.56,34.48,18.06,1.64,1500.0,5500.0,1500.0,1000.0,6200.0,2000.0,5600.0,1800.0,1000.0,5900.0,28000.0,8300.0,77.13,22.87,580000.0,190000.0,75.32,24.68,14000.0,3800.0,14000.0,4500.0,1000.0,19000.0,11000.0,3.23,61.29,35.48,1000.0,8600.0,6000.0,1000.0,9900.0,1000.0,22000.0,410000.0,180000.0,3.59,66.99,29.41,30000.0,46000.0,660000.0,610000.0,0.6522,0.0455,65.22,4.55,False,1.81,-1.81,1.67,-1.67,-4.89,6.16,4.48,-7.35,1.6,-0.37,-5.7,6.07,20148.0,1.4889815366289458,15K,15K,3.5K,11K,3.3K,1.0K,12K,290K,310K,99K,180K,110K,10K,210K,1.5K,5.5K,1.5K,1.0K,6.2K,2.0K,5.6K,1.8K,1.0K,5.9K,28K,8.3K,580K,190K,14K,3.8K,14K,4.5K,1.0K,19K,11K,1.0K,8.6K,6.0K,1.0K,9.9K,1.0K,22K,410K,180K
"Cesar, Colombia",State,6486.0,7624.0,Daily,45.97,54.03,1590.0,5455.0,1236.0,0.0,6630.0,10.66,36.58,44.46,8.29,0.0,142387.0,168165.0,45.85,54.15,35500.0,92498.0,67759.0,4626.0,122696.0,10.99,28.63,37.98,20.97,1.43,1069.0,2502.0,552.0,0.0,3084.0,791.0,3539.0,738.0,0.0,3176.0,13529.0,5556.0,70.89,29.11,296031.0,140774.0,67.77,32.23,7271.0,2564.0,7179.0,2934.0,332.0,10021.0,404.0,3.09,93.16,3.76,664.0,4440.0,2380.0,0.0,5566.0,2708.0,13661.0,248531.0,57486.0,4.27,77.74,17.98,13341.0,21273.0,354463.0,323706.0,0.6271,0.0376,62.71,3.76,False,3.12,-3.12,0.12,-0.12,-0.32,7.95,6.49,-12.68,-1.43,-1.19,15.41,-14.23,20148.0,0.6621500893388922,6.4K,7.6K,1.5K,5.4K,1.2K,0,6.6K,142K,168K,35K,92K,67K,4.6K,122K,1.0K,2.5K,552,0,3.0K,791,3.5K,738,0,3.1K,13K,5.5K,296K,140K,7.2K,2.5K,7.1K,2.9K,332,10K,404,664,4.4K,2.3K,0,5.5K,2.7K,13K,248K,57K
"Choco, Colombia",State,1000.0,1000.0,Monthly,50.0,50.0,1000.0,1000.0,1000.0,1000.0,1000.0,20.0,20.0,20.0,20.0,20.0,69000.0,75000.0,47.92,52.08,26000.0,45000.0,20000.0,2500.0,54000.0,17.63,30.51,36.61,13.56,1.69,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,130000.0,56000.0,69.89,30.11,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,33.33,33.33,33.33,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,4300.0,98000.0,43000.0,2.96,67.45,29.59,1000.0,5800.0,150000.0,140000.0,0.1724,0.0067,17.24,0.67,True,-19.89,19.89,2.08,-2.08,2.37,-10.51,-16.61,6.44,18.31,30.37,-34.11,3.74,210.0,4.761904761904762,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,69K,75K,26K,45K,20K,2.5K,54K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,130K,56K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,4.3K,98K,43K
"Choco, Colombia",State,0.0,599.0,Daily,0.0,100.0,0.0,664.0,0.0,0.0,499.0,0.0,57.09,42.91,0.0,0.0,30981.0,40505.0,43.34,56.66,9883.0,22834.0,9775.0,648.0,32551.0,13.06,30.17,43.01,12.91,0.86,0.0,0.0,0.0,0.0,0.0,0.0,997.0,0.0,0.0,332.0,291.0,666.0,30.41,69.59,66049.0,38141.0,63.39,36.61,498.0,0.0,399.0,997.0,0.0,684.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,799.0,0.0,2622.0,56979.0,13275.0,3.6,78.19,18.22,592.0,2700.0,71474.0,72403.0,0.2193,0.0083,21.93,0.83,True,-32.99,32.99,-43.34,43.34,-13.06,26.93,-0.1,-12.91,-0.86,-3.6,21.81,-18.22,210.0,2.8190476190476192,0,599,0,664,0,0,499,30K,40K,9.8K,22K,9.7K,648,32K,0,0,0,0,0,0,997,0,0,332,291,666,66K,38K,498,0,399,997,0,684,0,0,0,0,0,799,0,2.6K,56K,13K
"Cordoba, Colombia",State,6000.0,5500.0,Monthly,52.17,47.83,1400.0,4300.0,1200.0,1000.0,4600.0,11.2,34.4,36.8,9.6,8.0,350000.0,380000.0,47.95,52.05,130000.0,220000.0,120000.0,13000.0,250000.0,17.74,30.01,34.11,16.37,1.77,1000.0,2300.0,1000.0,1000.0,2400.0,1000.0,2000.0,1000.0,1000.0,2200.0,11000.0,2800.0,79.71,20.29,700000.0,200000.0,77.78,22.22,5600.0,1400.0,5100.0,1400.0,1000.0,7200.0,4200.0,8.06,58.06,33.87,1000.0,3500.0,2400.0,1000.0,3600.0,1800.0,21000.0,500000.0,220000.0,2.83,67.48,29.69,11000.0,30000.0,760000.0,730000.0,0.3667,0.0145,36.67,1.45,False,1.93,-1.93,4.23,-4.23,-6.54,4.39,2.69,-6.77,6.23,5.23,-9.41,4.18,6165.0,1.7842660178426601,6.0K,5.5K,1.4K,4.3K,1.2K,1.0K,4.6K,350K,380K,130K,220K,120K,13K,250K,1.0K,2.3K,1.0K,1.0K,2.4K,1.0K,2.0K,1.0K,1.0K,2.2K,11K,2.8K,700K,200K,5.6K,1.4K,5.1K,1.4K,1.0K,7.2K,4.2K,1.0K,3.5K,2.4K,1.0K,3.6K,1.8K,21K,500K,220K
